Common Name;Scientific Name
Tricholoma Soap-scented Tricholoma;Tricholoma saponaceum
Tricholoma Grey Tricholoma;Tricholoma terreum
Tricholoma Scaly Tricholoma;Tricholoma imbricatum
Tricholoma Yellow-brown Tricholoma;Tricholoma fulvum
Tricholoma Sulphur Tricholoma;Tricholoma sulphureum
Tricholoma St George's Mushroom;Calocybe gambosa
Tricholoma Clustered Brown Cap;Lyophyllum decastes
Tricholoma Changeable Melanoleuca;Melanoleuca melaleuca
Tricholoma Plums and custard;Tricholomopsis rutilans
Wax Gill Ivory Wax Cap;Cuphophyllus virgineus
Wax Gill Yellow Wax cap;Hygrocybe chlorophana
Wax Gill Orange-red Wax Cap;Hygrocybe marginata
Wax Gill Blackening Wax Cap;Hygrocybe conica
Wax Gill Meadow Wax Cap;Cuphophyllus pratensis
Wax Gill Scarlet Hood;Hygrocybe coccinea
Wax Gill Parrot Wax Cap;Gliophorus psittacinus
Wax Gill Herald of Winter;Hygrophorus hypothejus
Russula Common Yellow Russula;Russula ochroleuca
Russula Yellow-gilled Russula;Russula claroflava
Russula Yellow Swamp Russula;Russula lutea
Russula Geranium-scented Russula;Russula fellea
Russula Stinking Russula;Russula foetens
Russula Fragile Russula;Russula fragilis
Russula Birch Russula;Russula betularum
Russula Bare-toothed Russula;Russula vesca
Russula The Charcoal Burner;Russula cyanoxantha
Russula Blackish Purple Russula;Russula atropurpurea
Russula Blackening Russula;Russula nigricans
Russula The Sickener;Russula emetica
Russula Beechwood Sickener;Russula nobilis
Russula Crab-scented Russula;Russula xerampelina
Russula Grass-green Russula;Russula aeruginea
Russula Peppery Milk Cap;Lactifluus piperatus
Russula Fleecy Milk Cap;Lactifluus vellereus
Russula Oak Milk Cap;Lactarius quietus
Russula Slimy Milk Cap;Lactarius blennius
Russula Ugly Milk Cap;Lactarius turpis
Russula Rufous Milk Cap;Lactarius rufus
Russula Sweet Milk Cap;Lactarius subdulcis
Russula Small Brown Milk Cap;Lactarius camphoratus
Russula Coconut-scented Milk Cap;Lactarius glyciosmus
Russula Woolly Milk Cap;Lactarius torminosus
Russula Saffron Milk Cap;Lactarius deliciosus
Russula Spruce Milk Cap;Lactarius deterrimus
Pluteus Fawn Pluteus;Pluteus cervinus
Pluteus Veined Pluteus;Pluteus phlebophorus
Entoloma Silky Nolanea;Entoloma sericeum
Entoloma Striated Nolanea;Entoloma undatum
Entoloma White Leptonia;Entoloma niphoides
Entoloma Blue Leptonia;Entoloma serrulatum
Entoloma Livid Entoloma;Entoloma sinuatum
Entoloma The Miller;Clitopilus prunulus
Entoloma Apricot Fungus;Rhodotus palmatus
Bolbitius Egg Yolk Fungus;Bolbitius titubans
Bolbitius Brown Bell Cap;Conocybe tenera
Bolbitius Spring Agaric;Agrocybe praecox
Stropharia Shaggy Pholiota;Pholiota squarrosa
Stropharia Charcoal Pholiota;Pholiota highlandensis
Stropharia Brown Stew Fungus;Kuehneromyces mutabilis
Stropharia Sulphur Tuft;Hypholoma fasciculare
Stropharia Brick Caps;Hypholoma lateritium
Stropharia Verdigris Toadstool;Stropharia aeruginosa
Stropharia Dung Roundhead;Protostropharia semiglobata
Stropharia Magic Mushroom;Psilocybe semilanceata
Cortinarius Red-banded Cortinarius;Cortinarius armillatus
Cortinarius Purple Cortinarius;Cortinarius violaceus
Cortinarius Blood-red Cortinarius;Cortinarius sanguineus
Cortinarius Red-staining Inocybe;Inocybe erubescens
Cortinarius Straw-coloured Inocybe;Inocybe geophylla
Cortinarius Common White Inocybe;Inocybe geophylla var. alba
Cortinarius Poison Pie;Hebeloma crustuliniforme
Cortinarius Dark-centred Hebeloma;Hebeloma mesophaeum
Cortinarius Rusty Wood Rotter;Gymnopilus penetrans
Cortinarius Spectacular Gymnopile;Gymnopilus junonius
Cortinarius Moss Pixy Cap;Galerina hypnorum
Mushroom Field Mushroom;Agaricus campestris
Mushroom Cultivated Mushroom;Agaricus bisporus
Mushroom Horse Mushroom;Agaricus arvensis
Mushroom Yellow-staining Mushroom;Agaricus xanthodermus
Mushroom Bleeding Brown Mushroom;Agaricus haemorrhoidarius
Ink Cap Shaggy Ink Cap;Coprinus comatus
Ink Cap Common Ink Cap;Coprinopsis atramentaria
Ink Cap Magpie Ink Cap;Coprinopsis picacea
Ink Cap Rusty Carpet Ink Cap;Coprinellus domesticus
Ink Cap Glistening Ink Cap;Coprinellus micaceus
Ink Cap Fairies' Bonnets;Coprinellus disseminatus
Ink Cap Fairy Parasol;Coprinellus curtus
Ink Cap Common Crumble Cap;Coprinellus disseminatus
Ink Cap Two-toned Crumble Cap;Psathyrella bipellis
Ink Cap Hay Cap;Panaeolina foenisecii
Ink Cap Petticoat Fungus;Panaeolus papilionaceus
Ink Cap Egg-shell Toadstool;Conocybe apala
Ink Cap Weeping Widow;Lacrymaria lacrymabunda
Bolete Cep;Boletus edulis
Bolete Bay Bolete;Boletus badius
Bolete Red-cracked Bolete;Xerocomellus chrysenteron
Bolete Yellow-cracked Bolete;Xerocomellus subtomentosus
Bolete Dotted-stemmed Bolete;Neoboletus luridiformis
Bolete Lurid Bolete;Suillellus luridus
Bolete Parasitic Bolete;Pseudoboletus parasiticus
Bolete Bitter Bolete;Tylopilus felleus
Bolete Peppery Bolete;Chalciporus piperatus
Bolete Orange Birch Bolete;Leccinum versipelle
Bolete Brown Birch Bolete;Leccinum scabrum
Bolete Larch Bolete;Suillus grevillei
Bolete Slippery Jack;Suillus luteus
Bolete Shallow-pored Bolete;Suillus bovinus
Paxillus Brown Roll-rim;Paxillus involutus
Paxillus Velvet Roll-rim;Tapinella atrotomentosa
Paxillus False Chanterelle;Hygrophoropsis aurantiaca
Chanterelle Chanterelle;Cantharellus cibarius
Chanterelle Tubed Chanterelle;Craterellus tubaeformis
Chanterelle Horn of Plenty;Craterellus cornucopioides
Oyster Mushroom Oyster Mushroom;Pleurotus ostreatus
Oyster Mushroom Branched Oyster Mushroom;Pleurotus cornucopiae
Tricholoma Olive-brown Panellus;Sarcomyxa serotina
Crepidotus Soft Slipper Toadstool;Crepidotus mollis
Hydnum Hedgehog Fungus;Hydnum repandum
Ear-Pick Ear-pick Fungus;Auriscalpium vulgare
Bracket Fungi Hairy Stereum;Stereum hirsutum
Bracket Fungi Silver Leaf Fungus;Chondrostereum purpureum
Bracket Fungi Dryad's Saddle;Cerioporus squamosus
Bracket Fungi Fuzzy Polypore;Trametes pubescens
Bracket Fungi Brown Goblet;Pseudoclitocybe cyathiformis
Saddle-Cup White Saddle;Helvella crispa
Bracket Fungi Elfin's Saddle;Helvella lacunosa
Bracket Fungi Turban Fungus;Sarcosphaera coronaria
Morel Common Morel;Morchella esculenta
Jelly Discs Jelly Babies;Leotia lubrica
